A_qseqid	A_evalue	B_qseqid	B_evalue	AB_qseqid	A_evalue	B_evalue	Escolha
TRINITY_DN31_c0_g1_i4	9.54e-85	TRINITY_DN371_c0_g1_i1	7.38e-46	TRINITY_DN371_c0_g1_i1	1.06e-55	7.38e-46	A
TRINITY_DN31_c0_g1_i1	6.73e-83	TRINITY_DN371_c0_g1_i13	2.99e-49	TRINITY_DN371_c0_g1_i13	5.22e-69	2.99e-49	A
TRINITY_DN31_c0_g1_i11	1.15e-48	TRINITY_DN433_c0_g2_i1	1.42e-55	TRINITY_DN652_c1_g1_i4	0.0	0.0	B
TRINITY_DN329_c0_g1_i1	1.57e-32	TRINITY_DN433_c0_g2_i3	5.48e-43	TRINITY_DN652_c1_g1_i1	0.0	0.0	B
TRINITY_DN371_c0_g1_i1	1.06e-55	TRINITY_DN652_c1_g1_i4	0.0	TRINITY_DN652_c0_g1_i4	1.87e-62	1.77e-59	A
TRINITY_DN371_c0_g1_i13	5.22e-69	TRINITY_DN652_c1_g1_i1	0.0	TRINITY_DN652_c0_g1_i5	1.13e-61	2.11e-59	A
TRINITY_DN420_c0_g1_i1	2.65e-92	TRINITY_DN652_c0_g1_i4	1.77e-59	TRINITY_DN652_c0_g1_i11	5.93e-38	3.33e-37	A
TRINITY_DN652_c1_g1_i4	0.0	TRINITY_DN652_c0_g1_i5	2.11e-59	TRINITY_DN789_c0_g2_i2	1.22e-121	0.0	B
TRINITY_DN652_c1_g1_i1	0.0	TRINITY_DN652_c0_g1_i11	3.33e-37	TRINITY_DN1326_c0_g1_i5	9.05e-51	2.32e-47	A
TRINITY_DN652_c0_g1_i4	1.87e-62	TRINITY_DN789_c0_g2_i2	0.0	TRINITY_DN1363_c0_g1_i5	0.0	0.0	A
TRINITY_DN652_c0_g1_i5	1.13e-61	TRINITY_DN1326_c0_g1_i5	2.32e-47	TRINITY_DN1363_c0_g1_i6	0.0	0.0	A
TRINITY_DN652_c0_g1_i11	5.93e-38	TRINITY_DN1363_c0_g1_i5	0.0	TRINITY_DN1567_c0_g1_i1	1.31e-180	1.63e-70	A
TRINITY_DN789_c0_g2_i2	1.22e-121	TRINITY_DN1363_c0_g1_i6	0.0	TRINITY_DN1567_c0_g1_i11	1.74e-180	1.88e-70	A
TRINITY_DN994_c0_g7_i1	1.15e-65	TRINITY_DN1567_c0_g1_i1	1.63e-70	TRINITY_DN2005_c0_g1_i4	1.4e-96	4.82e-161	B
