A_qseqid	A_evalue	B_qseqid	B_evalue	AB_qseqid	A_evalue	B_evalue	Escolha
TRINITY_DN13_c0_g3_i7	2.52e-179	TRINITY_DN237_c0_g1_i8	1.35e-83	TRINITY_DN237_c0_g1_i8	2.07e-104	1.35e-83	A
TRINITY_DN237_c0_g1_i8	2.07e-104	TRINITY_DN655_c0_g1_i5	3.71e-132	TRINITY_DN655_c0_g1_i5	7.55e-137	3.71e-132	A
TRINITY_DN269_c0_g1_i1	4.87e-37	TRINITY_DN764_c0_g1_i6	6.62e-113	TRINITY_DN764_c0_g1_i6	0.0	6.62e-113	A
TRINITY_DN655_c0_g1_i5	7.55e-137	TRINITY_DN767_c0_g1_i12	7.07e-40	TRINITY_DN767_c0_g1_i12	2.01e-33	7.07e-40	B
TRINITY_DN764_c0_g1_i6	0.0	TRINITY_DN767_c0_g1_i11	6.43e-39	TRINITY_DN767_c0_g1_i11	1.97e-33	6.43e-39	B
TRINITY_DN767_c0_g1_i12	2.01e-33	TRINITY_DN797_c0_g4_i3	2.98e-93	TRINITY_DN797_c0_g4_i3	3.38e-112	2.98e-93	A
TRINITY_DN767_c0_g1_i11	1.97e-33	TRINITY_DN797_c0_g4_i7	4.02e-143	TRINITY_DN797_c0_g4_i7	0.0	4.02e-143	A
TRINITY_DN797_c0_g4_i3	3.38e-112	TRINITY_DN797_c0_g2_i2	0.0	TRINITY_DN797_c0_g2_i2	0.0	0.0	A
TRINITY_DN797_c0_g4_i7	0.0	TRINITY_DN828_c0_g1_i12	3.21e-151	TRINITY_DN828_c0_g1_i12	0.0	3.21e-151	A
TRINITY_DN797_c0_g2_i2	0.0	TRINITY_DN932_c2_g2_i1	1.2e-49	TRINITY_DN932_c2_g2_i1	7.17e-45	1.2e-49	B
TRINITY_DN814_c0_g1_i5	9.85e-106	TRINITY_DN932_c2_g1_i1	9.22e-145	TRINITY_DN932_c2_g1_i1	7.18e-148	9.22e-145	A
TRINITY_DN828_c0_g1_i12	0.0	TRINITY_DN932_c0_g1_i6	2.25e-63	TRINITY_DN932_c0_g1_i6	5.86e-63	2.25e-63	B
TRINITY_DN922_c1_g2_i1	2.31e-125	TRINITY_DN1064_c0_g2_i1	6.68e-94	TRINITY_DN1064_c0_g2_i1	1.12e-112	6.68e-94	A
TRINITY_DN922_c1_g2_i3	1.05e-114	TRINITY_DN1257_c1_g1_i1	0.0	TRINITY_DN1257_c0_g1_i7	0.0	0.0	B
TRINITY_DN912_c0_g1_i1	6.45e-107	TRINITY_DN1257_c0_g1_i7	0.0	TRINITY_DN1257_c0_g1_i11	0.0	0.0	B
TRINITY_DN932_c2_g2_i1	7.17e-45	TRINITY_DN1257_c0_g1_i11	0.0	TRINITY_DN1359_c4_g1_i1	0.0	0.0	B
TRINITY_DN932_c2_g1_i1	7.18e-148	TRINITY_DN1359_c4_g1_i1	0.0	TRINITY_DN1449_c0_g1_i5	1.1e-73	1.52e-65	A
TRINITY_DN932_c0_g1_i6	5.86e-63	TRINITY_DN1449_c0_g1_i5	1.52e-65	TRINITY_DN1599_c0_g2_i1	2.27e-95	3.44e-56	A
TRINITY_DN1064_c0_g2_i1	1.12e-112	TRINITY_DN1599_c0_g2_i1	3.44e-56	TRINITY_DN1610_c0_g1_i14	3.75e-51	6.67e-88	B
TRINITY_DN1136_c0_g3_i1	2.08e-32	TRINITY_DN1610_c0_g1_i14	6.67e-88	TRINITY_DN1610_c0_g1_i12	3.05e-51	4.83e-88	B
TRINITY_DN1221_c0_g3_i3	9.63e-128	TRINITY_DN1610_c0_g1_i12	4.83e-88	TRINITY_DN1682_c0_g1_i9	5.21e-51	3.08e-37	A
TRINITY_DN1245_c0_g1_i4	9.79e-68	TRINITY_DN1682_c0_g1_i9	3.08e-37	TRINITY_DN1809_c0_g1_i1	2.63e-145	1.71e-142	A
TRINITY_DN1245_c0_g1_i1	0.0	TRINITY_DN1809_c0_g1_i1	1.71e-142	TRINITY_DN2088_c0_g1_i1	1.87e-149	8.26e-79	A
TRINITY_DN1257_c0_g1_i7	0.0	TRINITY_DN2088_c0_g1_i1	8.26e-79	TRINITY_DN2088_c0_g1_i8	0.0	5.96e-104	A
TRINITY_DN1257_c0_g1_i11	0.0	TRINITY_DN2088_c0_g1_i8	5.96e-104	TRINITY_DN2554_c0_g1_i6	0.0	2.26e-49	A
TRINITY_DN1359_c4_g1_i1	0.0	TRINITY_DN2287_c1_g1_i3	1.72e-35	TRINITY_DN2537_c0_g1_i6	2.19e-95	2.2e-98	B
TRINITY_DN1449_c0_g1_i5	1.1e-73	TRINITY_DN2287_c0_g1_i6	2.35e-69	TRINITY_DN2537_c0_g1_i2	3.26e-96	1.12e-98	B
TRINITY_DN1573_c5_g1_i1	1.16e-32	TRINITY_DN2287_c0_g1_i9	1.36e-92	TRINITY_DN2537_c0_g2_i2	9.42e-78	6.82e-76	A
TRINITY_DN1568_c0_g1_i2	4.82e-56	TRINITY_DN2554_c0_g1_i6	2.26e-49	TRINITY_DN2637_c0_g1_i4	2.29e-137	1.81e-79	A
TRINITY_DN1599_c0_g2_i1	2.27e-95	TRINITY_DN2537_c0_g1_i6	2.2e-98	TRINITY_DN2765_c0_g1_i2	0.0	9.1e-48	A
TRINITY_DN1610_c0_g1_i14	3.75e-51	TRINITY_DN2537_c0_g1_i2	1.12e-98	TRINITY_DN3167_c0_g1_i1	4.56e-49	7.96e-49	A
TRINITY_DN1610_c0_g1_i12	3.05e-51	TRINITY_DN2537_c0_g2_i2	6.82e-76	TRINITY_DN3951_c0_g2_i1	4.21e-149	3.79e-142	A
TRINITY_DN1682_c0_g1_i9	5.21e-51	TRINITY_DN2637_c0_g1_i4	1.81e-79	TRINITY_DN4293_c1_g1_i2	2.41e-114	5.91e-64	A
TRINITY_DN1809_c0_g1_i1	2.63e-145	TRINITY_DN2765_c0_g1_i2	9.1e-48	TRINITY_DN4586_c0_g1_i3	2.2e-67	3.46e-64	A
TRINITY_DN2067_c0_g1_i1	2.34e-51	TRINITY_DN3087_c1_g1_i1	1.51e-41	TRINITY_DN5330_c0_g1_i1	5.04e-104	3.64e-47	A
TRINITY_DN2067_c0_g1_i12	8.31e-34	TRINITY_DN3167_c0_g1_i1	7.96e-49	TRINITY_DN5980_c0_g5_i1	6.01e-174	4.03e-112	A
